t_polo	0.001549145735078376
t_poly	0.007580269407592122
t_cot	0.005951971681535672
sleeves	0.0006024380221293497
j_light	0.09974169181461887
j_fleece	0.006456980073179772
j_down	0.024839966783332487
shorts	0.007857549115631031
p_thin	0.01863959355488423
p_thick	0.0
p_fleece	0.0016632321542026337
p_down	0.011939504568416666
temp	0.22176836605422612
precip	0.0
snow	0.04727628620180766
headwind	0.026436307556357987
daytime	0.0029506315762191666
feel_sun	0.29506480153362113
hr	0.2196812641671667
MSE	0.17035
R^2	0.20971649484536092
