upr_clo,lwr_clo,temp,sun,headwind,snow,rain,fatigued,hr,feels
0.99,1.14,-8,1,0,0,0,0,100,2
0.98,1.78,-7,1,0,0,0,0,0,2
0.79,1.59,-5,0,0,0,0,0,115,2
0.08,0.23,-4,1,0,0,0,0,80,2
0.09,0.89,-4,1,0,0,0,0,0,2
0.2,0.26,-3,1,0,0,0,0,80,2
0.09,0.89,-2,1,0,0,0,0,100,2
0.09,0.89,-2,1,0,0,0,0,0,2
0.08,0.23,-1,1,0,0,0,0,80,2
0.08,0.23,0,1,0,0,0,0,0,2
0.08,0.23,2,1,0,0,0,0,80,2
0.08,0.23,2,1,0,0,0,0,0,2
0.08,0.23,6,1,0,0,0,0,0,2
0.09,0.24,6,1,0,0,0,0,0,2
0.09,0.24,7,1,0,0,0,0,0,2
0.08,0.23,8,1,1,0,0,0,88,2
0.09,0.24,9,1,0,0,0,0,0,2
0.09,0.24,10,1,0,0,0,0,0,2
0.09,0.24,11,1,0,0,0,0,0,2
0.08,0.14,13,1,1,0,0,0,80,2
0.08,0.23,18,1,0,0,0,0,90,2
0.08,0.14,19,1,1,0,0,0,91,2
0.09,0.15,19,1,0,0,0,0,75,2
0.09,0.89,-2,1,0,0,0,0,130,3
0.09,0.15,-1,1,0,0,0,0,100,3
0.08,0.14,13,1,1,0,0,0,126,3
