t_dress,t_poly,t_cot,sleeves,j_light,j_fleece,j_down,shorts,p_thin,p_thick,p_fleece,p_down,temp,sun,headwind,snow,rain,fatigued,hr,feels
1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,-7,0,1,0,0,0,130.0,1
0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,-6,0,0,0,0,0,120.0,1
0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,-6,0,0,0,0,0,120.0,1
0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,-5,0,0,0,0,0,96.0,1
0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,-5,0,0,0,0,0,105.0,1
0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,-4,0,0,0,0,0,90.0,1
0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,-4,0,0,0,0,0,95.0,1
0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,-4,0,1,1,0,0,115.0,1
0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,-2,1,1,0,0,0,100.0,1
0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,-2,0,1,0,0,0,130.0,1
0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,-1,0,1,0,0,0,100.0,1
0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1,0,0,0,0,0,110.0,1
0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,4,0,0,0,0,0,104.0,1
0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,4,1,0,0,0,0,110.0,1
0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,5,0,0,0,0,0,93.0,1
0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,5,0,0,0,0,0,96.0,1
0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,6,0,0,0,0,0,80.0,1
0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,6,0,0,0,0,0,98.0,1
0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,6,0,0,0,0,0,102.0,1
0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,7,0,0,0,0,0,80.0,1
0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,7,0,0,0,0,0,105.0,1
0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,8,1,1,0,0,0,100.0,1
0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,8,0,1,0,0,0,84.0,1
0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,8,1,1,0,0,0,105.0,1
0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,9,0,0,0,0,0,75.0,1
0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,9,1,0,0,0,0,90.0,1
0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,9,1,0,0,0,0,90.0,1
1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,10,0,0,0,1,0,94.0,1
0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,10,1,0,0,0,0,80.0,1
0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,11,0,0,0,0,0,90.0,1
0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,11,0,0,0,0,0,100.0,1
1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,12,0,1,0,0,0,79.0,1
0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,12,0,0,0,0,0,70.0,1
0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,12,0,0,0,0,0,86.0,1
1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,13,0,1,0,0,0,100.0,1
0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,13,0,1,0,0,0,90.0,1
0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,13,0,0,0,0,0,99.0,1
1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,13,0,1,0,0,0,100.0,1
0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,14,0,0,0,0,0,90.0,1
0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,14,0,0,0,0,0,87.0,1
0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,15,0,0,0,0,1,82.0,1
0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,15,0,0,0,0,0,100.0,1
0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,17,0,1,0,0,0,87.0,1
0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,17,0,0,0,0,0,91.0,1
0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,17,0,0,0,0,0,91.0,1
0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,17,0,0,0,0,0,93.0,1
0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,18,0,0,0,0,0,83.0,1
0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,18,0,0,0,0,0,94.0,1
0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,18,0,0,0,0,0,90.0,1
0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,19,0,0,0,0,0,75.0,1
0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,20,0,0,0,0,0,75.0,1
0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,20,0,1,0,1,0,78.0,1
0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,21,0,0,0,0,0,90.0,1
0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,23,0,0,0,0,1,89.0,1
0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,23,0,1,0,0,1,89.0,1
0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,23,1,1,0,0,1,89.0,1
0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,-17,1,1,0,0,0,110.0,2
0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,-12,1,0,0,0,0,110.0,2
0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,-11,1,0,0,0,0,120.0,2
0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,-8,1,0,0,0,0,100.0,2
0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,-5,0,0,0,0,0,115.0,2
0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,-4,1,0,0,0,0,80.0,2
0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,-3,1,0,0,0,0,90.0,2
0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,-2,1,0,0,0,0,100.0,2
0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,-1,1,0,0,0,0,90.0,2
0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1,1,0,0,0,0,95.0,2
0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1,1,0,0,0,0,110.0,2
0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,2,1,0,0,0,0,90.0,2
0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,8,1,1,0,0,0,88.0,2
0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,9,1,0,0,0,0,100.0,2
0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,12,1,0,0,0,0,86.0,2
0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,12,0,0,0,0,0,112.0,2
0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,13,1,1,0,0,0,90.0,2
0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,14,1,0,0,0,0,105.0,2
0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,16,1,0,0,0,1,90.0,2
0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,17,1,0,0,0,0,91.0,2
0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,17,1,0,0,0,0,100.0,2
0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,18,1,0,0,0,0,90.0,2
0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,19,1,0,0,0,0,75.0,2
0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,19,1,1,0,0,0,91.0,2
0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,22,1,0,0,0,0,97.0,2
0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,23,1,0,0,0,0,84.0,2
0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,25,0,0,0,0,0,66.0,2
0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,25,0,0,0,0,0,75.0,2
0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,26,0,0,0,0,1,70.0,2
0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,27,0,0,0,0,0,93.0,2
0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,-2,1,0,0,0,0,130.0,3
0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,-1,1,0,0,0,0,100.0,3
0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,13,1,1,0,0,0,126.0,3
0,0,1,0,0,0,0,0,1,0,0,0,16,1,0,0,0,0,94,2
0,0,1,0,0,0,0,0,1,0,0,0,22,0,0,0,0,0,80,1
0,0,1,0,0,0,0,0,1,0,0,0,22,1,0,0,0,0,85,2
0,0,1,0,0,0,0,0,1,0,0,0,23,1,0,0,0,0,97,1
0,0,1,0,0,0,0,0,1,0,0,0,22,0,0,0,0,0,96,1
0,0,1,0,0,0,0,0,1,0,0,0,14,0,0,0,0,0,104,1
0,0,1,0,0,0,0,0,1,0,0,0,14,0,0,0,0,0,80,0
0,0,1,0,0,0,0,1,0,0,0,0,15,1,0,0,0,0,90,2
0,0,1,0,0,0,0,1,0,0,0,0,16,0,0,0,0,0,90,1
0,0,1,0,0,0,0,1,0,0,0,0,24,1,0,0,0,0,110,3
0,0,1,0,0,0,0,1,0,0,0,0,25,0,0,0,0,0,80,2
0,0,1,0,0,0,0,1,0,0,0,0,22,0,0,0,0,0,82,1
0,0,1,0,0,0,0,1,0,0,0,0,22,0,1,0,0,0,92,1
0,1,0,0,0,0,0,1,0,0,0,0,24,0,0,0,0,0,82,2
0,1,0,0,0,0,0,1,0,0,0,0,24,0,1,0,0,0,77,1
1,0,0,0,0,0,0,0,1,0,0,0,14,0,1,0,0,0,105,1
1,0,0,0,0,0,0,0,1,0,0,0,14,0,0,0,0,0,105,1
1,0,0,0,0,0,0,0,1,0,0,0,12,0,1,0,0,0,90,0
